PLOs,Sub-PLOs,Course,Skill Set,Career
PLOs-5,Sub-PLOs-5.1,Fundamental Mathematics for Data Science,Fundamentals of Computer Science and Data Management (FCS),Data Scientist
PLOs-5,Sub-PLOs-5.1,Fundamental Mathematics for Data Science,Fundamentals of Computer Science and Data Management (FCS),Data Analyst
PLOs-5,Sub-PLOs-5.1,Fundamental Mathematics for Data Science,Fundamentals of Computer Science and Data Management (FCS),Business Data Analyst
PLOs-5,Sub-PLOs-5.1,Fundamental Mathematics for Data Science,Fundamentals of Computer Science and Data Management (FCS),Business Intelligence Developer
PLOs-5,Sub-PLOs-5.1,Fundamental Mathematics for Data Science,Fundamentals of Computer Science and Data Management (FCS),Digital Project Manager
PLOs-5,Sub-PLOs-5.1,Fundamental Mathematics for Data Science,Fundamentals of Computer Science and Data Management (FCS),Digital Entrepreneur
PLOs-5,Sub-PLOs-5.1,Fundamental Statistics for Data Science,Fundamentals of Computer Science and Data Management (FCS),Data Scientist
PLOs-5,Sub-PLOs-5.1,Fundamental Statistics for Data Science,Fundamentals of Computer Science and Data Management (FCS),Data Analyst
PLOs-5,Sub-PLOs-5.1,Fundamental Statistics for Data Science,Fundamentals of Computer Science and Data Management (FCS),Business Data Analyst
PLOs-5,Sub-PLOs-5.1,Fundamental Statistics for Data Science,Fundamentals of Computer Science and Data Management (FCS),Business Intelligence Developer
PLOs-5,Sub-PLOs-5.1,Fundamental Statistics for Data Science,Fundamentals of Computer Science and Data Management (FCS),Digital Project Manager
PLOs-5,Sub-PLOs-5.1,Fundamental Statistics for Data Science,Fundamentals of Computer Science and Data Management (FCS),Digital Entrepreneur
PLOs-5,Sub-PLOs-5.1,Database Management,Fundamentals of Computer Science and Data Management (FCS),Data Scientist
PLOs-5,Sub-PLOs-5.1,Database Management,Fundamentals of Computer Science and Data Management (FCS),Data Analyst
PLOs-5,Sub-PLOs-5.1,Database Management,Fundamentals of Computer Science and Data Management (FCS),Business Data Analyst
PLOs-5,Sub-PLOs-5.1,Database Management,Fundamentals of Computer Science and Data Management (FCS),Business Intelligence Developer
PLOs-5,Sub-PLOs-5.1,Database Management,Fundamentals of Computer Science and Data Management (FCS),Digital Project Manager
PLOs-5,Sub-PLOs-5.1,Database Management,Fundamentals of Computer Science and Data Management (FCS),Digital Entrepreneur
PLOs-5,Sub-PLOs-5.1,Principle of Programming,Programming and Software Development (PSD),Data Scientist
PLOs-5,Sub-PLOs-5.1,Principle of Programming,Programming and Software Development (PSD),Business Intelligence Developer
